"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Galio","Support",12,"5.3%","0.9%","8.0%","33%","100%",9,42,104,2.7,"74.3%","26.4%","17%",-70,84,0.1,1.3,"3.1%",167,"8.9%","8.5%",1.67,0.4
"Ornn","Top",12,"5.3%","3.1%","8.8%","58%","100%",20,31,105,4,"69.8%","20.3%","8%",-391,-76,-12.4,7.2,"20.9%",333,"17.6%","19.1%",0.48,0.18
"Syndra","Middle",12,"5.3%","5.8%","11.5%","58%","58%",26,21,63,4.2,"56.7%","17.4%","25%",92,-37,4.8,8.4,"24.1%",535,"27.3%","22.6%",0.42,0.22
"Wukong","Top",11,"4.9%","6.2%","11.1%","45%","91%",37,35,51,2.5,"65.7%","27.1%","27%",-372,-214,-15.4,7.1,"23.5%",374,"22.1%","22.2%",0.38,0.2
"Zoe","Middle",11,"4.9%","1.3%","6.2%","36%","91%",20,18,59,4.4,"66.9%","13.5%","9%",34,97,2.3,8.3,"24.9%",517,"26.6%","22.7%",0.47,0.31
"Camille","Top",10,"4.4%","2.7%","7.1%","60%","70%",29,26,36,2.5,"58.6%","26.8%","10%",13,3,0.7,8.5,"25.7%",411,"22.8%","23.6%",0.39,0.26
"Irelia","Top",10,"4.4%","20.8%","27.0%","50%","60%",43,36,36,2.2,"65.8%","30.3%","30%",167,-101,3.7,8.7,"26.7%",489,"27.2%","26.3%",0.33,0.16
"Rell","Support",10,"4.4%","3.1%","7.5%","50%","70%",3,33,53,1.7,"53.8%","24.3%","10%",-102,66,-1.1,1.2,"3.0%",111,"6.8%","8.2%",1.62,0.41
"Sett","Support",10,"4.4%","17.3%","55.3%","40%","30%",13,40,64,1.9,"56.6%","26.3%","20%",160,198,12.5,2.5,"5.9%",204,"10.1%","10.9%",1.48,0.47
"Karma","Middle",9,"4.0%","21.2%","34.1%","44%","33%",10,16,50,3.8,"77.9%","14.7%","0%",-132,9,-2.1,6.7,"15.5%",307,"18.5%","18.9%",0.65,0.28
"Kog'Maw","ADC",9,"4.0%","2.7%","6.6%","44%","89%",22,22,37,2.7,"62.8%","20.4%","11%",-108,61,3.9,9.8,"31.6%",547,"29.7%","25.8%",0.84,0.47
"Lillia","Jungle",9,"4.0%","0.9%","4.9%","56%","78%",25,13,61,6.6,"72.3%","14.3%","44%",192,335,5.4,6.9,"20.6%",412,"21.4%","20.3%",0.42,0.48
"Lulu","Middle",9,"4.0%","11.5%","20.4%","44%","56%",7,17,74,4.8,"81.0%","17.2%","44%",88,69,2.2,6.6,"16.2%",296,"15.4%","18.6%",0.46,0.22
"Dr. Mundo","Top",8,"3.5%","0.4%","4.0%","13%","63%",6,17,11,1,"37.8%","15.0%","13%",-272,-197,-7.1,8.5,"25.3%",412,"26.4%","23.2%",0.46,0.21
"Lulu","Support",8,"3.5%","11.5%","20.4%","63%","50%",6,14,72,5.6,"82.1%","17.5%","25%",-329,-342,-18,0.5,"1.8%",108,"5.1%","8.7%",1.56,0.4
"Olaf","Jungle",8,"3.5%","3.5%","7.1%","75%","88%",21,24,62,3.5,"69.7%","25.8%","13%",-89,96,6.3,6,"17.0%",384,"18.4%","18.8%",0.41,0.51
"Trundle","Support",8,"3.5%","6.6%","19.0%","75%","63%",2,16,76,4.9,"71.6%","20.8%","13%",-89,-126,1.4,1.3,"3.3%",114,"5.2%","9.1%",2.3,0.62
"Yuumi","Support",8,"3.5%","3.1%","6.6%","50%","75%",6,8,70,9.5,"87.4%","11.6%","13%",116,233,-11.5,0.3,"1.2%",323,"17.5%","9.4%",1.45,0.15
"Akali","Top",7,"3.1%","40.3%","56.6%","29%","71%",18,21,14,1.5,"71.1%","23.9%","29%",-236,-297,-12.7,8,"23.0%",362,"27.9%","22.6%",0.35,0.24
"Viego","Middle",7,"3.1%","31.0%","66.8%","14%","71%",10,23,27,1.6,"55.2%","19.5%","14%",-25,214,1.3,8,"21.7%",326,"18.6%","20.6%",0.35,0.29
"Lucian","Top",6,"2.7%","69.9%","88.1%","33%","17%",10,16,35,2.8,"77.6%","25.0%","33%",443,206,24.2,9.4,"29.6%",453,"27.2%","26.2%",0.36,0.41
"Viktor","Middle",6,"2.7%","0.4%","3.1%","33%","67%",7,15,19,1.7,"57.8%","20.8%","33%",-58,50,2.5,8.8,"25.2%",499,"29.2%","22.9%",0.47,0.16
"Lissandra","Middle",5,"2.2%","4.0%","6.2%","60%","100%",17,9,37,6,"73.0%","17.3%","0%",-74,9,1,8.5,"24.4%",439,"21.3%","22.3%",0.33,0.3
"Galio","Middle",4,"1.8%","0.9%","8.0%","25%","75%",2,6,17,3.2,"57.6%","15.0%","0%",-266,-363,-11,8.9,"24.2%",253,"14.2%","21.3%",0.55,0.22
"Irelia","Middle",4,"1.8%","20.8%","27.0%","25%","75%",16,11,9,2.3,"71.4%","18.6%","25%",249,-22,10.5,10.1,"30.7%",390,"25.9%","28.0%",0.38,0.28
"Jayce","Middle",4,"1.8%","35.0%","56.2%","25%","75%",4,6,14,3,"48.6%","13.3%","25%",226,49,2.5,9.4,"26.5%",505,"29.1%","23.8%",0.57,0.27
"Rumble","Top",4,"1.8%","20.4%","59.7%","25%","25%",12,11,24,3.3,"75.0%","21.6%","25%",190,109,-3.5,7.5,"24.7%",558,"28.1%","23.0%",0.46,0.12
"Tristana","ADC",4,"1.8%","1.8%","4.0%","0%","100%",7,9,11,2,"69.2%","17.6%","25%",127,80,-5.8,9.4,"32.9%",265,"18.0%","27.4%",0.94,0.46
"Aatrox","Top",3,"1.3%","0.9%","2.2%","100%","100%",11,7,24,5,"71.4%","24.1%","33%",-205,-163,-2.7,8.5,"26.6%",639,"26.7%","24.6%",0.43,0.22
"Gragas","Jungle",3,"1.3%","6.2%","18.1%","0%","100%",6,13,18,1.8,"66.7%","27.7%","67%",-98,-365,-6.7,5,"12.6%",289,"16.3%","14.7%",1.09,0.49
"Hecarim","Jungle",3,"1.3%","0.0%","1.3%","0%","100%",2,10,11,1.3,"68.4%","20.4%","0%",-434,-177,1.3,5.4,"13.6%",169,"10.9%","15.6%",0.31,0.44
"Lulu","Top",3,"1.3%","11.5%","20.4%","33%","0%",0,7,16,2.3,"80.0%","20.0%","0%",-195,175,2.7,6.2,"15.3%",252,"16.7%","16.6%",0.46,0.22
"Maokai","Support",3,"1.3%","0.0%","1.8%","67%","67%",1,4,14,3.8,"51.7%","23.5%","33%",26,5,1.3,1.2,"2.9%",348,"17.7%","7.9%",1.49,0.42
"Sion","Top",3,"1.3%","0.4%","1.8%","67%","100%",2,7,17,2.7,"63.3%","21.9%","33%",-476,-361,-16,7.4,"23.5%",424,"24.2%","21.1%",0.34,0.26
"Sylas","Top",3,"1.3%","11.5%","21.7%","33%","100%",4,11,10,1.3,"36.8%","24.4%","0%",-309,-158,-9.3,7.2,"24.7%",381,"19.1%","20.2%",0.37,0.22
"Taric","Support",3,"1.3%","0.4%","1.8%","67%","100%",1,6,29,5,"88.2%","23.1%","0%",-98,33,-2,1,"1.9%",79,"3.9%","8.4%",1.66,0.3
"Yone","Middle",3,"1.3%","0.0%","1.3%","33%","67%",7,5,13,4,"60.6%","13.5%","33%",85,69,1,9.6,"27.3%",302,"20.8%","23.6%",0.38,0.31
