"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Lillia","Jungle",3,"3.3%","1.1%","5.6%","0%","67%",3,9,8,1.2,"68.8%","22.0%","0%",-356,-436,-4,6.3,"14.5%",336,"22.6%","19.0%",0.49,0.27
"Morgana","Support",3,"3.3%","3.3%","6.7%","33%","100%",2,12,22,2,"75.0%","21.1%","0%",-57,36,-4,1,"2.6%",144,"6.5%","9.5%",1.47,0.4
"Olaf","Top",3,"3.3%","5.6%","13.3%","33%","100%",15,14,10,1.8,"49.0%","27.5%","33%",14,-188,2.7,7.9,"24.8%",640,"29.9%","25.8%",0.35,0.12
"Yone","Middle",3,"3.3%","0.0%","3.3%","0%","67%",11,16,13,1.5,"61.5%","21.6%","33%",-95,-276,-3.3,8.3,"28.5%",459,"21.8%","24.8%",0.4,0.17
"Blitzcrank","Support",2,"2.2%","1.1%","3.3%","0%","100%",2,14,19,1.5,"61.8%","26.9%","50%",257,234,-2,0.9,"2.3%",163,"7.9%","8.2%",1.58,0.33
"Cassiopeia","Middle",2,"2.2%","0.0%","2.2%","50%","100%",10,6,17,4.5,"67.5%","17.6%","0%",711,79,6,8.8,"27.6%",511,"23.8%","26.4%",0.54,0.1
"Evelynn","Jungle",2,"2.2%","1.1%","3.3%","50%","100%",10,6,15,4.2,"78.1%","20.0%","0%",-126,-84,-3,6.1,"17.5%",565,"25.7%","20.1%",0.5,0.1
"Gragas","Support",2,"2.2%","3.3%","14.4%","100%","100%",0,10,25,2.5,"54.3%","37.0%","50%",52,171,1,1.4,"3.7%",368,"15.0%","8.7%",1.67,0.42
"Gwen","Middle",2,"2.2%","54.4%","80.0%","50%","50%",5,6,6,1.8,"64.7%","27.3%","50%",153,-198,0.5,8.4,"23.7%",461,"25.4%","23.3%",0.49,0.3
"Jax","Top",2,"2.2%","1.1%","3.3%","50%","100%",2,6,4,1,"40.0%","24.0%","0%",-390,212,-7.5,8.5,"25.8%",375,"23.8%","23.5%",0.32,0.11
"Karma","Support",2,"2.2%","14.4%","20.0%","50%","0%",0,4,19,4.8,"73.1%","16.0%","50%",46,-86,-13,0.9,"3.1%",153,"7.3%","8.5%",1.4,0.47
"Karthus","Jungle",2,"2.2%","0.0%","3.3%","100%","100%",5,8,17,2.8,"61.1%","32.0%","50%",360,570,10,7.7,"23.6%",463,"23.2%","20.1%",0.35,0.25
"Lucian","Top",2,"2.2%","46.7%","78.9%","0%","50%",2,5,8,2,"52.6%","16.1%","0%",23,-97,5,8.3,"26.7%",554,"25.3%","24.2%",0.48,0.37
"Lulu","Support",2,"2.2%","26.7%","35.6%","50%","50%",0,6,24,4,"68.6%","18.8%","0%",169,155,-9,0.5,"2.3%",106,"4.6%","8.5%",1.69,0.43
"Mordekaiser","Top",2,"2.2%","0.0%","2.2%","50%","50%",1,8,5,0.8,"31.6%","38.1%","0%",-620,-313,-16,7.1,"23.8%",201,"16.4%","18.1%",0.43,0.11
"Nocturne","Jungle",2,"2.2%","32.2%","51.1%","100%","0%",3,8,23,3.3,"59.1%","26.7%","0%",-457,-92,-4.5,5.6,"16.5%",295,"12.5%","17.0%",0.4,0.37
"Nocturne","Middle",2,"2.2%","32.2%","51.1%","0%","0%",3,7,9,1.7,"80.0%","17.1%","50%",174,83,1.5,7.2,"19.2%",327,"18.4%","21.2%",0.38,0.18
"Renekton","Middle",2,"2.2%","34.4%","61.1%","0%","0%",0,5,5,1,"50.0%","17.2%","0%",-702,-60,-10.5,7.4,"21.1%",248,"17.5%","19.5%",0.42,0.1
"Sett","Middle",2,"2.2%","13.3%","30.0%","0%","100%",3,6,7,1.7,"71.4%","15.8%","0%",-343,-125,-11.5,7.1,"21.5%",262,"20.3%","21.2%",0.41,0.19
"Urgot","Top",2,"2.2%","0.0%","2.2%","0%","50%",5,9,6,1.2,"47.8%","25.0%","0%",110,-26,5,9,"26.5%",500,"27.0%","25.7%",0.43,0.3
"Aatrox","Top",1,"1.1%","0.0%","1.1%","100%","100%",2,4,10,3,"66.7%","57.1%","0%",561,267,-2,7.1,"17.4%",389,"22.4%","17.7%",0.43,0.06
"Corki","Middle",1,"1.1%","0.0%","1.1%","0%","100%",1,2,4,2.5,"55.6%","15.4%","0%",78,-60,16,9,"27.1%",496,"31.8%","24.3%",0.36,0.11
"Gnar","Top",1,"1.1%","0.0%","1.1%","100%","100%",6,3,2,2.7,"53.3%","33.3%","0%",-58,-161,-2,6.9,"22.6%",527,"23.1%","23.1%",0.57,0.23
"Graves","Jungle",1,"1.1%","0.0%","1.1%","0%","100%",4,4,3,1.8,"58.3%","16.0%","0%",317,439,15,7.5,"23.5%",405,"19.8%","23.5%",0.31,0.76
"Irelia","Top",1,"1.1%","11.1%","15.6%","0%","100%",1,4,1,0.5,"50.0%","25.0%","0%",-658,-362,-3,7.7,"23.5%",219,"21.2%","22.7%",0.43,0.13
"Jarvan IV","Jungle",1,"1.1%","0.0%","1.1%","0%","100%",4,4,1,1.3,"71.4%","33.3%","0%",-6,189,6,4.3,"8.1%",199,"13.7%","16.4%",0.46,0.19
"Karthus","ADC",1,"1.1%","0.0%","3.3%","0%","100%",3,8,6,1.1,"52.9%","33.3%","0%",-412,-328,8,8,"25.7%",744,"36.0%","22.6%",0.49,0.18
"Lillia","Top",1,"1.1%","1.1%","5.6%","0%","100%",0,2,1,0.5,"20.0%","12.5%","0%",-100,-640,-6,8.8,"31.5%",511,"29.2%","22.0%",0.45,0.23
"Lissandra","Middle",1,"1.1%","0.0%","1.1%","100%","100%",6,2,7,6.5,"81.3%","40.0%","0%",-321,249,27,9,"21.8%",773,"33.0%","24.8%",0.36,0.23
"Nidalee","Jungle",1,"1.1%","0.0%","1.1%","0%","100%",4,2,0,2,"66.7%","14.3%","100%",-249,-164,-15,5.7,"16.2%",527,"31.1%","23.1%",0.22,0.63
"Pantheon","Support",1,"1.1%","0.0%","1.1%","0%","100%",5,6,5,1.7,"90.9%","30.0%","100%",724,531,2,2.2,"7.6%",421,"19.4%","16.8%",2.4,0.84
"Poppy","Support",1,"1.1%","2.2%","3.3%","100%","100%",0,3,5,1.7,"31.3%","33.3%","100%",-185,-537,-11,1,"2.2%",121,"5.7%","7.1%",1.78,0.28
"Pyke","Support",1,"1.1%","1.1%","2.2%","100%","100%",5,5,3,1.6,"38.1%","83.3%","100%",228,49,1,2,"7.9%",245,"12.0%","16.6%",1.78,0.31
"Rengar","Jungle",1,"1.1%","0.0%","1.1%","0%","100%",6,3,6,4,"75.0%","14.3%","0%",298,-163,-1,6.2,"20.0%",475,"24.3%","21.2%",0.52,0.72
"Riven","Top",1,"1.1%","0.0%","1.1%","0%","100%",0,4,2,0.5,"50.0%","19.0%","0%",-157,-302,-3,8,"28.6%",291,"21.3%","22.8%",0.4,0.2
"Sejuani","Top",1,"1.1%","2.2%","7.8%","100%","100%",3,3,10,4.3,"52.0%","20.0%","0%",107,283,-8,6.6,"15.5%",515,"18.7%","17.0%",0.55,0.15
"Sett","Support",1,"1.1%","13.3%","30.0%","100%","0%",2,3,7,3,"52.9%","42.9%","100%",356,220,4,1.6,"3.8%",167,"9.3%","9.8%",1.3,0.77
"Sivir","ADC",1,"1.1%","0.0%","1.1%","0%","100%",0,2,1,0.5,"100.0%","15.4%","0%",-217,-191,-10,8.4,"29.4%",310,"26.7%","23.1%",0.51,0.31
"Syndra","ADC",1,"1.1%","2.2%","18.9%","0%","100%",1,4,2,0.8,"25.0%","18.2%","0%",135,414,14,8.9,"28.3%",352,"16.1%","21.9%",0.93,0.29
"Tahm Kench","Top",1,"1.1%","7.8%","15.6%","0%","0%",3,3,1,1.3,"50.0%","27.3%","0%",-97,-79,-6,6,"15.9%",204,"16.0%","18.4%",0.3,0.23
"Taliyah","Jungle",1,"1.1%","0.0%","1.1%","0%","0%",0,3,0,0,"0.0%","23.1%","0%",-767,-1000,-22,5.4,"13.1%",311,"26.7%","17.0%",0.74,0.27
"Trundle","Support",1,"1.1%","5.6%","15.6%","0%","100%",1,4,4,1.3,"41.7%","16.0%","0%",211,-200,5,1.3,"2.9%",88,"4.3%","8.9%",1.88,0.67
"Vayne","ADC",1,"1.1%","0.0%","1.1%","0%","100%",4,2,1,2.5,"33.3%","10.5%","0%",-732,-243,-7,9.4,"28.5%",504,"22.2%","23.2%",0.75,0.32
"Volibear","Top",1,"1.1%","17.8%","38.9%","0%","100%",2,4,3,1.3,"55.6%","20.0%","0%",369,181,16,8.9,"25.3%",485,"22.8%","23.1%",0.51,0.1
"Yasuo","Middle",1,"1.1%","2.2%","3.3%","0%","100%",4,4,7,2.8,"73.3%","19.0%","0%",826,453,9,7.5,"25.0%",311,"15.4%","22.1%",0.45,0.17
"Zac","Jungle",1,"1.1%","0.0%","1.1%","100%","100%",4,4,20,6,"68.6%","23.5%","0%",618,420,-2,5.3,"17.6%",536,"17.2%","16.8%",0.95,0.34
"Zilean","Support",1,"1.1%","0.0%","1.1%","0%","100%",1,2,9,5,"76.9%","13.3%","100%",310,234,-11,0.6,"2.6%",237,"12.3%","9.8%",1.64,0.42
"Amumu","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ekko","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Malphite","-",0,"0%","2.2%","2.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Skarner","-",0,"0%","2.2%","2.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Yuumi","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Zed","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
